,sample_id,genomics,event_id,collecting method,plant_interaction,stage,sex,collection,location,notes_specimen,Quantity,higher_taxon,taxon_level,species,subspecies,det_insect,det_day_insect,det_month_insect,det_year_insect,preservation,vial_size,genomics_id,make_label,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,plant_id,notes_event,pop_id_thesis,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det_host_plant,det_day_host_plant,det_month_host_plant,det_year_host_plant,notes
176,14083Z07X003,BdM1322,14083,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1322,,9.0,11.0,2014.0,,,,56,-9.760979041,-36.50717047,189.9848633,Limoeiro de Anadia,AL,Brazil,À beira da rodovia AL-220,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 380,,P15,,MCZ,em pasto,arenoso-rochoso,,amarela por for a,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
177,14059Z04X001,BdM1328,14059,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Microstrates,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1328,,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 197,,P12,,MCZ,mata úmida,,,,,,open male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
178,14068Z06X003,BdM1333,14068,bagging flowers,in open male flowers,adult,,MZSP,MCZ,14068A,1,Andranthobius,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1333,,6.0,11.0,2014.0,,,,40,-12.13096828,-38.48542149,159.7036133,Alagoinhas,BA,Brazil,Ao longo da ferrovia,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 206,,P13,SPF,MCZ,caatinga,,,,,,"open male flowers, recently fertilizaed female flowers",Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
179,14046Z01X004,BdM1336,14046,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1336,,5.0,11.0,2014.0,,,,30,-13.92938817,-40.01967053,260.8814697,Jequié,BA,Brazil,Estrada para Frigorífico Vale do Sol,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 185,,P11,,MCZ,caatinga,arenoso,,,,,"recently opened inflorescence, most male flowers closed",Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
180,14092Z07X002,BdM1337,14092,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1337,,9.0,11.0,2014.0,,,,59,-9.591419259,-36.44237174,287.0772705,Taquarana,AL,Brazil,,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 228,,P15,,MCZ,em pasto,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
181,14018Z06X004,BdM1338,14018,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1338,,2.0,11.0,2014.0,,,,14,-17.12177404,-39.38168105,121.0107422,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 158,,P10,,MCZ,mata,,,,,,"open male flowers, fruits",Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
182,14107Z04X003,BdM1340,14107,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Microstrates,genus,ypsilon,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1340,,11.0,11.0,2014.0,,,,68,-9.740903964,-38.23869321,341.8719482,Santa Brígida,BA,Brazil,,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 244,,P19,,MCZ,Em pastos próximos a caatinga,arenoso,,,amarelo-alaranjadas,,"open male flowers, fruits",Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
183,14059Z06X002,BdM1342,14059,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1342,,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 197,,P12,,MCZ,mata úmida,,,,,,open male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
184,14068Z04X001,BdM1350,14068,bagging flowers,in open male flowers,adult,,MZSP,MCZ,14068A,1,Microstrates,genus,ypsilon,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1350,,6.0,11.0,2014.0,,,,40,-12.13096828,-38.48542149,159.7036133,Alagoinhas,BA,Brazil,Ao longo da ferrovia,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 206,,P13,SPF,MCZ,caatinga,,,,,,"open male flowers, recently fertilizaed female flowers",Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
185,14103Z06X002,BdM1356,14103,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1356,,10.0,11.0,2014.0,,,,66,-8.931129389,-36.49731469,753.0727539,Garanhuns,PE,Brazil,À beira da rodovia BR-424,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 239,,P17_cor,,MCZ,em pasto próximo a fragemento de mata estacional,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
