,genomics,plant_id,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det,det_day,det_month,det_year,notes_specimen,event_id,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,notes_event,pop_id_thesis
66,BdM1736,B. A. S. Medeiros 265,,MCZ,Em meio a plantação de café,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14128,12.0,11.0,2014.0,,,,72,-11.62801612,-41.15345721,1074.871582,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,,P6
67,BdM1737,B. A. S. Medeiros 266,,MCZ,Em meio a plantação de café,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14129,12.0,11.0,2014.0,,,,75,-11.62916218,-41.15296855,1061.894043,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,,P6
68,BdM1738,B. A. S. Medeiros 268,,MCZ,Em meio a plantação de café,,,,,,"open male flowers, fruits",Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14131,12.0,11.0,2014.0,,,,73,-11.62928338,-41.15337725,1079.918701,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,,P6
69,BdM1739,B. A. S. Medeiros 276,,MCZ,caatinga,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14139,13.0,11.0,2014.0,,,,between 083 and 084,-12.4544,-40.548,418.0,Itaberaba,BA,Brazil,"estrada de fazenda Canabrava, saindo da BA-130",B. A. S. Medeiros,Z. Wang,,P5
70,BdM1741,B. A. S. Medeiros 285,,MCZ,transição caatinga-campo gerais,argiloso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14150,13.0,11.0,2014.0,,,,88,-14.00900435,-42.267934,684.0986328,Lagoa Real,BA,Brazil,,B. A. S. Medeiros,Z. Wang,,P7
71,BdM1742,B. A. S. Medeiros 288,,MCZ,transição caatinga-campo gerais,argiloso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14153,13.0,11.0,2014.0,,,,89,-14.00607982,-42.25784604,669.4387207,Lagoa Real,BA,Brazil,,B. A. S. Medeiros,Z. Wang,,P7
72,BdM1743,B. A. S. Medeiros 291,,MCZ,,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14156,14.0,11.0,2014.0,,,,90,-15.38945661,-42.80203206,830.458252,Mato Verde,MG,Brazil,,B. A. S. Medeiros,Z. Wang,,P9
73,BdM1744,B. A. S. Medeiros 292,,MCZ,,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14157,14.0,11.0,2014.0,,,,90,-15.38945661,-42.80203206,830.458252,Mato Verde,MG,Brazil,,B. A. S. Medeiros,Z. Wang,,P9
74,BdM1745,B. A. S. Medeiros 294,,MCZ,,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14159,14.0,11.0,2014.0,,,,90,-15.38945661,-42.80203206,830.458252,Mato Verde,MG,Brazil,,B. A. S. Medeiros,Z. Wang,,P9
75,BdM1746,B. A. S. Medeiros 381,,MCZ,caatinga,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14051,5.0,11.0,2014.0,,,,32,-13.92943444,-40.01964421,272.8979492,Jequié,BA,Brazil,Estrada para Frigorífico Vale do Sol,B. A. S. Medeiros,Z. Wang,,P11
76,BdM2175,B. A. S. Medeiros 61,SPF,MCZ,"Solo arenoso, compactado, entre afloramentos rochosos. Em caatinga aberta.",arenoso,"Folhas verdes acima, glaucas abaixo, espata marrom-esverdeada fora, flores amarelas",espata marrom-esverdeada externamente,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,,13029,14.0,11.0,2013.0,,,,068,-12.8300860617,-39.8762878496,360.13684082,Iaçu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,"VER LIVRO DE CAMPO. Outra da mesma espécie coletada, sem bichos",P4
