,genomics,plant_id,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det,det_day,det_month,det_year,notes_specimen,event_id,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,notes_event,pop_id_thesis
39,BdM1710,B. A. S. Medeiros 182,,MCZ,caatinga,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14043,5.0,11.0,2014.0,,,,29,-13.92160457,-40.0149107,238.7713623,Jequié,BA,Brazil,Estrada para Frigorífico Vale do Sol,B. A. S. Medeiros,Z. Wang,,P11
40,BdM1711,B. A. S. Medeiros 183,,MCZ,caatinga,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14044,5.0,11.0,2014.0,,,,29,-13.92160457,-40.0149107,238.7713623,Jequié,BA,Brazil,Estrada para Frigorífico Vale do Sol,B. A. S. Medeiros,Z. Wang,,P11
41,BdM1712,B. A. S. Medeiros 186,,MCZ,caatinga,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14047,5.0,11.0,2014.0,,,,30,-13.92938817,-40.01967053,260.8814697,Jequié,BA,Brazil,Estrada para Frigorífico Vale do Sol,B. A. S. Medeiros,Z. Wang,,P11
42,BdM1713,B. A. S. Medeiros 190,,MCZ,caatinga,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14052,5.0,11.0,2014.0,,,,32,-13.92943444,-40.01964421,272.8979492,Jequié,BA,Brazil,Estrada para Frigorífico Vale do Sol,B. A. S. Medeiros,Z. Wang,,P11
43,BdM1714,B. A. S. Medeiros 191,,MCZ,mata úmida,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14053,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,,P12
44,BdM1715,B. A. S. Medeiros 194,,MCZ,mata úmida,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14056,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,,P12
45,BdM1716,B. A. S. Medeiros 195,,MCZ,mata úmida,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14057,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,,P12
46,BdM1717,B. A. S. Medeiros 196,,MCZ,mata úmida,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14058,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,,P12
47,BdM1718,B. A. S. Medeiros 197,,MCZ,mata úmida,,,,,,open male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14059,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,,P12
48,BdM1719,B. A. S. Medeiros 199,,MCZ,caatinga,,,,,,green fruits,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14061,6.0,11.0,2014.0,,,,38,-12.13309326,-38.48488321,159.9438477,Alagoinhas,BA,Brazil,Ao longo da ferrovia,B. A. S. Medeiros,Z. Wang,,P13
49,BdM1720,B. A. S. Medeiros 202,,MCZ,caatinga,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14064,6.0,11.0,2014.0,,,,38,-12.13309326,-38.48488321,159.9438477,Alagoinhas,BA,Brazil,Ao longo da ferrovia,B. A. S. Medeiros,Z. Wang,,P13
50,BdM1721,B. A. S. Medeiros 203,,MCZ,caatinga,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14065,6.0,11.0,2014.0,,,,38,-12.13309326,-38.48488321,159.9438477,Alagoinhas,BA,Brazil,Ao longo da ferrovia,B. A. S. Medeiros,Z. Wang,,P13
