sample_id,genomics,event_id,collecting method,plant_interaction,stage,sex,collection,location,notes_specimen,Quantity,higher_taxon,taxon_level,species,subspecies,det_insect,det_day_insect,det_month_insect,det_year_insect,preservation,vial_size,genomics_id,make_label,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,plant_id,notes_event,pop_id_thesis,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det_host_plant,det_day_host_plant,det_month_host_plant,det_year_host_plant,notes
14041Z02X004,BdM1748,14041,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1748,NA,4,11,2014,NA,NA,NA,26,-15.30463628,-39.13030928,96.01672363,Una,BA,Brazil,À beira de estrada vicinal,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 57,NA,P3,NA,MCZ,"Sobre solo arenoso, em mata úmida secundária",NA,NA,NA,NA,NA,male flowers,Arecaceae,NA,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,NA,NA,2013,collected from same individual in 2013 and 2014
14132Z03X002,BdM1749,14132,bagging flowers,in open male flowers (partially enclosed by spathe),adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1749,NA,12,11,2014,NA,NA,NA,74,-11.62958303,-41.15293812,1070.785889,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 269,NA,P6,NA,MCZ,Em meio a plantação de café,NA,NA,NA,NA,NA,"open male flowers (partially enclosed by spathe), fruits",Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
14107Z07X001,BdM1751,14107,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1751,NA,11,11,2014,NA,NA,NA,68,-9.740903964,-38.23869321,341.8719482,Santa Brígida,BA,Brazil,NA,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 244,NA,P19,NA,MCZ,Em pastos próximos a caatinga,arenoso,NA,NA,amarelo-alaranjadas,NA,"open male flowers, fruits",Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
13078Z09X001,BdM1752,13078A,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1752,NA,3,12,2013,NA,NA,NA,160,-18.9764971845,-40.1292300504,78.232421875,Jaguaré,ES,Brazil,REBIO Sooretama,B. A. S. Medeiros,F. M. Gudin,B. A. S. Medeiros 111,same plant collected in two days,P8,SPF,MCZ,"Em mata de tabuleiro, sobre solo arenoso",arenoso,Folhas verdes,espata verde externamente e amarelo-creme internamente,flores amarelo-crème,folhas arqueadas,early male flowers,Arecaceae,NA,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,NA,NA,2013,NA
14041Z02X005,BdM1753,14041,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1753,NA,4,11,2014,NA,NA,NA,26,-15.30463628,-39.13030928,96.01672363,Una,BA,Brazil,À beira de estrada vicinal,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 57,NA,P3,NA,MCZ,"Sobre solo arenoso, em mata úmida secundária",NA,NA,NA,NA,NA,male flowers,Arecaceae,NA,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,NA,NA,2013,collected from same individual in 2013 and 2014
14018Z01X001,BdM1754,14018,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1754,NA,2,11,2014,NA,NA,NA,14,-17.12177404,-39.38168105,121.0107422,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 158,NA,P10,NA,MCZ,mata,NA,NA,NA,NA,NA,"open male flowers, fruits",Arecaceae,NA,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,NA,NA,2014,NA
14011Z02X004,BdM1757,14011,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,field label was 14001. I assumed it was an error and it actually meant 14011,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,small vial,BdM1757,NA,1,11,2014,NA,NA,NA,9,-18.36921078,-40.14181959,108.2734375,Pinheiros,ES,Brazil,"REBIO Córrego do Veado, trilha da Anta",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 153,NA,P1,NA,MCZ,mata de tabuleiro,NA,NA,NA,NA,NA,open male flowers,Arecaceae,NA,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,NA,NA,2014,NA
14092Z03X002,BdM1758,14092,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1758,NA,9,11,2014,NA,NA,NA,59,-9.591419259,-36.44237174,287.0772705,Taquarana,AL,Brazil,NA,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 228,NA,P15,NA,MCZ,em pasto,arenoso,NA,NA,NA,NA,open male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
14095Z02X004,BdM1759,14095,bagging flowers,in open male flowers,adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1759,NA,10,11,2014,NA,NA,NA,64,-8.976725517,-36.51673171,792.9672852,Brejão,PE,Brazil,"À beira da rodovia BR-424, próximo a Garanhuns",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 231,NA,P17_hyb,NA,MCZ,em pasto próximo a fragemento de mata estacional,arenoso,NA,NA,"maculinas amarelas, femininas verdes",3-4 m de altura,open male flowers,Arecaceae,NA,Syagrus,x costae,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
14145Z10X002,BdM1765,14145,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Celetes,genus,decolor,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1765,NA,13,11,2014,NA,NA,NA,84,-12.45441754,-40.54898361,418.0559082,Itaberaba,BA,Brazil,"estrada de fazenda Canabrava, saindo da BA-130",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 282,NA,P5,NA,NA,caatinga,arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2014,NA
